station_id,name,status,address,alternate_name,city_asset_number,property_type,number_of_docks,power_type,footprint_length,footprint_width,notes,council_district,modified_date
2540,17th & Guadalupe,closed,411 W. 17th St.,null,16739,paid_parking,12,solar,40,5.0,null,9,2021-03-12T01:02:00Z
2547,Guadalupe & 21st,active,2100 Guadalupe St.,null,16749,paid_parking,13,solar,40,5.0,in buffer area parking,9,2021-01-04T12:00:00Z
2562,San Jacinto & 8th Street,active,782 San Jacinto Blvd.,null,16755,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
2552,3rd & West,active,652 W. 3rd St,null,16727,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
4879,16th/San Antonio,active,1601 San Antonio Street,null,16739,paid_parking,12,solar,40,5.0,null,9,2021-03-12T01:15:00Z
3635,13th & San Antonio,closed,1285 San Antonio St.,null,32522,paid_parking,13,solar,40,5.0,null,9,2021-03-12T12:49:00Z
3685,Henderson & 9th,active,672 Henderson Street,null,32593,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3793,Rio Grande & 28th,active,2717 Rio Grande St.,null,32668,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
4050,5th & Campbell,active,1611 W 5th St,null,32745,paid_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
4051,10th & Red River,active,699 East 10th Street,null,32686,paid_parking,13,solar,40,5.0,null,1,2021-01-04T12:00:00Z
4057,6th & Chalmers,active,639 Chalmers Avenue,null,32690,paid_parking,13,solar,40,5.0,null,3,2021-01-04T12:00:00Z
2548,UT West Mall @ Guadalupe,active,2242 Guadalupe St.,null,16748,paid_parking,15,solar,45,5.0,"in buffer area parking, check dock #",9,2021-01-04T12:00:00Z
2494,2nd & Congress,active,151 E. 2nd St,null,16733,paid_parking,15,solar,45,5.0,null,9,2021-01-04T12:00:00Z
2495,4th & Congress,active,120 W. 4th St.,null,16726,paid_parking,15,solar,45,5.0,null,9,2021-01-04T12:00:00Z
2501,5th & Bowie,active,Presented by Whole Foods Market,null,16728,paid_parking,15,solar,45,5.0,null,9,2021-01-04T12:00:00Z
2563,Davis at Rainey Street,active,698 Davis St.,null,16751,paid_parking,19,solar,55,5.0,null,9,2021-01-04T12:00:00Z
3293,East 2nd & Pedernales,active,2414 E 2nd St,null,16729,nonmetered_parking,10,solar,20,15.0,Kiosk replaced by Barton Sp/Riverside.  Old city ID: 32517,3,2021-01-04T12:00:00Z
4052,Rosewood & Angelina,active,1153 Angelina Street,null,32687,nonmetered_parking,13,solar,40,5.0,null,1,2021-01-04T12:00:00Z
4054,Rosewood & Chicon,active,1909 Rosewood Avenue,null,32688,nonmetered_parking,13,solar,40,5.0,null,1,2021-01-04T12:00:00Z
4055,11th & Salina,active,1705 E 11th St,null,32689,nonmetered_parking,13,solar,40,5.0,null,1,2021-01-04T12:00:00Z
4058,Hollow Creek & Barton Hills,active,1106 Hollow Creek Dr,null,32685,nonmetered_parking,13,solar,40,5.0,null,5,2021-01-04T12:00:00Z
4059,Nash Hernandez @ RBJ South,active,1316 Festival Beach Rd,null,32693,nonmetered_parking,13,solar,40,5.0,null,3,2021-01-04T12:00:00Z
4061,Lakeshore @ Austin Hostel,active,2200 S Lakeshore Blvd,null,32692,nonmetered_parking,15,solar,45,5.0,null,3,2021-01-04T12:00:00Z
4062,Lakeshore & Pleasant Valley,active,2525 South Lakeshore Boulevard,null,32711,nonmetered_parking,18,solar,55,5.0,null,3,2021-01-04T12:00:00Z
3292,East 4th & Chicon,active,1819 East 4th St.,null,32516,undetermined_parking,9,solar,30,5.0,null,3,2021-01-04T12:00:00Z
2544,East 6th & Pedernales St.,active,2498 E. 6th St.,null,16738,undetermined_parking,11,solar,35,5.0,null,3,2021-01-04T12:00:00Z
2568,East 11th St. at Victory Grill,active,1106 E. 11th St.,null,16757,undetermined_parking,11,solar,35,5.0,null,1,2021-01-04T12:00:00Z
2569,East 11th St. & San Marcos,active,1001 E. 11th St.,null,16756,undetermined_parking,11,solar,35,5.0,null,1,2021-01-04T12:00:00Z
3660,Medina & East 6th,active,590 Medina St.,null,16761,undetermined_parking,11,solar,35,5.0,null,3,2021-01-04T12:00:00Z
2822,East 6th at Robert Martinez,active,2120 East 6th St,null,16674,undetermined_parking,13,solar,40,5.0,null,3,2021-01-04T12:00:00Z
2823,Capital Metro HQ - East 5th at Broadway,active,2910 E 5th St,null,16684,undetermined_parking,13,solar,40,5.0,null,3,2021-01-04T12:00:00Z
2504,South Congress & Elizabeth,active,101 Elizabeth St. W,null,16731,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
2537,West & 6th St.,active,603 West Ave.,null,16737,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3686,Sterzing at Barton Springs,active,1825 Barton Springs Rd,null,32592,undetermined_parking,13,solar,40,5.0,null,5,2021-01-04T12:00:00Z
3791,Lake Austin & Enfield,active,3825 Lake Austin Blvd,null,32672,undetermined_parking,13,solar,40,5.0,null,10,2021-01-04T12:00:00Z
3792,22nd & Pearl,active,900 W. 22nd,null,32669,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3838,Nueces & 26th,active,600 W. 26th St.,null,16744,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3841,23rd & Rio Grande,active,2308 Rio Grande St.,null,16740,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
4048,South Congress @ Bouldin Creek,active,799 South Congress Avenue,null,32746,undetermined_parking,13,solar,40,5.0,null,9,2021-01-04T12:00:00Z
3377,MoPac Pedestrian Bridge @ Veterans Drive,active,2105 Veterans Dr.,null,16598,undetermined_parking,19,solar,55,5.0,parkland in ROW/eastment,9,2021-01-04T12:00:00Z
3794,Dean Keeton & Speedway,active,180 E. Dean Keeton St.,null,32670,undetermined_parking,19,solar,55,5.0,null,9,2021-01-04T12:00:00Z
3795,Dean Keeton & Whitis,active,300 W. Dean Keeton St.,null,32671,undetermined_parking,19,solar,55,5.0,null,9,2021-01-04T12:00:00Z
3797,21st & University,active,2007 University Ave.,null,32674,undetermined_parking,19,solar,55,5.0,ROW might belong to UT,9,2021-01-04T12:00:00Z
